from_node,to_node,from_lat_long,to_lat_long,distance,travel_time,distance_text,duration_text,city_id,from_lat,from_long,,
Muharraq PID,Nasser AlJabur Avenue-2,"26.24885, 50.607896","26.234637, 50.540977",0,0,,,6,26.24885,50.607896,,
Muharraq PID,Nasser AlJabur Avenue-1,"26.24885, 50.607896","26.234831, 50.54587",0,0,,,6,26.24885,50.607896,,
Muharraq PID,Manama Post Office  Manama,"26.24885, 50.607896","26.234418, 50.575338",0,0,,,6,26.24885,50.607896,,
Muharraq PID,City Centre Bahrain Manama,"26.24885, 50.607896","26.232336, 50.555904",0,0,,,6,26.24885,50.607896,,
Muharraq PID,Manama Terminal 6 Manama,"26.24885, 50.607896","26.23091, 50.570469",0,0,,,6,26.24885,50.607896,,
Muharraq PID,Seef Mall Manama,"26.24885, 50.607896","26.234389, 50.536222",0,0,,,6,26.24885,50.607896,,
Muharraq PID,Wali Al Ahed HWY-1 Souq Waqif Hamad Town,"26.24885, 50.607896","26.14361, 50.495636",0,0,,,6,26.24885,50.607896,,
Muharraq PID,Government Ave-1 Manama Centre,"26.24885, 50.607896","26.236683, 50.578517",0,0,,,6,26.24885,50.607896,,
Muharraq PID,Bab Al Bahrain Station Manama,"26.24885, 50.607896","26.234671, 50.571809",0,0,,,6,26.24885,50.607896,,
Muharraq PID,Wali Al Ahed HWY-2 Souq Waqif,"26.24885, 50.607896","26.143758, 50.496066",0,0,,,6,26.24885,50.607896,,
Bahrain University Main Gate/2 Zallaq,Muharraq Terminal 3,"26.056805, 50.509186","26.249233, 50.6079",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Wali Al Ahed Highway-4 Buri,"26.056805, 50.509186","26.140633, 50.507267",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Wali Al Ahed HWY-6 Hamad Town,"26.056805, 50.509186","26.14205, 50.501783",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Wali Al Ahed HWY-5 Buri,"26.056805, 50.509186","26.142383, 50.501367",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Al Razi Health Center,"26.056805, 50.509186","26.227964, 50.565464",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,University of Bahrain - Sakhir 2,"26.056805, 50.509186","26.048766, 50.512333",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Muharraq PID,"26.056805, 50.509186","26.24885, 50.607896",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Bahrain University Main Gate/2 Zallaq,"26.056805, 50.509186","26.056805, 50.509186",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Bahrain University Main Gate 1,"26.056805, 50.509186","26.056796, 50.508591",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Nasser AlJabur Avenue-2,"26.056805, 50.509186","26.234637, 50.540977",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Nasser AlJabur Avenue-1,"26.056805, 50.509186","26.234831, 50.54587",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Manama Post Office  Manama,"26.056805, 50.509186","26.234418, 50.575338",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,City Centre Bahrain Manama,"26.056805, 50.509186","26.232336, 50.555904",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Manama Terminal 6 Manama,"26.056805, 50.509186","26.23091, 50.570469",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Seef Mall Manama,"26.056805, 50.509186","26.234389, 50.536222",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Wali Al Ahed HWY-1 Souq Waqif Hamad Town,"26.056805, 50.509186","26.14361, 50.495636",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Government Ave-1 Manama Centre,"26.056805, 50.509186","26.236683, 50.578517",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Bab Al Bahrain Station Manama,"26.056805, 50.509186","26.234671, 50.571809",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate/2 Zallaq,Wali Al Ahed HWY-2 Souq Waqif,"26.056805, 50.509186","26.143758, 50.496066",0,0,,,7,26.056805,50.509186,,
Bahrain University Main Gate 1,Muharraq Terminal 3,"26.056796, 50.508591","26.249233, 50.6079",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Wali Al Ahed Highway-4 Buri,"26.056796, 50.508591","26.140633, 50.507267",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Wali Al Ahed HWY-6 Hamad Town,"26.056796, 50.508591","26.14205, 50.501783",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Wali Al Ahed HWY-5 Buri,"26.056796, 50.508591","26.142383, 50.501367",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Al Razi Health Center,"26.056796, 50.508591","26.227964, 50.565464",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,University of Bahrain - Sakhir 2,"26.056796, 50.508591","26.048766, 50.512333",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Muharraq PID,"26.056796, 50.508591","26.24885, 50.607896",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Bahrain University Main Gate/2 Zallaq,"26.056796, 50.508591","26.056805, 50.509186",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Bahrain University Main Gate 1,"26.056796, 50.508591","26.056796, 50.508591",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Nasser AlJabur Avenue-2,"26.056796, 50.508591","26.234637, 50.540977",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Nasser AlJabur Avenue-1,"26.056796, 50.508591","26.234831, 50.54587",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Manama Post Office  Manama,"26.056796, 50.508591","26.234418, 50.575338",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,City Centre Bahrain Manama,"26.056796, 50.508591","26.232336, 50.555904",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Manama Terminal 6 Manama,"26.056796, 50.508591","26.23091, 50.570469",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Seef Mall Manama,"26.056796, 50.508591","26.234389, 50.536222",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Wali Al Ahed HWY-1 Souq Waqif Hamad Town,"26.056796, 50.508591","26.14361, 50.495636",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Government Ave-1 Manama Centre,"26.056796, 50.508591","26.236683, 50.578517",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Bab Al Bahrain Station Manama,"26.056796, 50.508591","26.234671, 50.571809",0,0,,,8,26.056796,50.508591,,
Bahrain University Main Gate 1,Wali Al Ahed HWY-2 Souq Waqif,"26.056796, 50.508591","26.143758, 50.496066",0,0,,,8,26.056796,50.508591,,
Nasser AlJabur Avenue-2,Muharraq Terminal 3,"26.234637, 50.540977","26.249233, 50.6079",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,Wali Al Ahed Highway-4 Buri,"26.234637, 50.540977","26.140633, 50.507267",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,Wali Al Ahed HWY-6 Hamad Town,"26.234637, 50.540977","26.14205, 50.501783",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,Wali Al Ahed HWY-5 Buri,"26.234637, 50.540977","26.142383, 50.501367",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,Al Razi Health Center,"26.234637, 50.540977","26.227964, 50.565464",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,University of Bahrain - Sakhir 2,"26.234637, 50.540977","26.048766, 50.512333",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,Muharraq PID,"26.234637, 50.540977","26.24885, 50.607896",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,Bahrain University Main Gate/2 Zallaq,"26.234637, 50.540977","26.056805, 50.509186",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,Bahrain University Main Gate 1,"26.234637, 50.540977","26.056796, 50.508591",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,Nasser AlJabur Avenue-2,"26.234637, 50.540977","26.234637, 50.540977",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,Nasser AlJabur Avenue-1,"26.234637, 50.540977","26.234831, 50.54587",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,Manama Post Office  Manama,"26.234637, 50.540977","26.234418, 50.575338",0,0,,,9,26.234637,50.540977,,
Nasser AlJabur Avenue-2,City Centre Bahrain Manama,"26.234637, 50.540977","26.232336, 50.555904",0,0,,,9,26.234637,50.540977,,
